,Date,Title of Resource,Purpose,Description,URL,Summary,0,Substack,#N/A,Inspired By,Content,Created By
FALSE,G2,Behavior Bingo,Classroom Management,https://www.youtube.com/watch?v=ctkvqH4EcqM,https://docs.google.com/presentation/d/1Rj_vwsLOjRnwRtHUplMc6vbijq5JdR-XEEQnU1-yNuA/edit?usp=sharing,"Looking for a fun way to motivate your students? 🎉 Try Behavior Bingo! Set a class goal—like a movie day or extra recess—and let students earn their way to a prize by following classroom norms. Whether it’s a straight line, diagonal, or full board, Bingo keeps learning fun and engaging! 🏆📚 #ClassroomManagement #StudentMotivation #EdTech
https://buff.ly/3SKVBCq ",,https://mrshowell24.substack.com/p/behavior-bingo?r=1t4mql,https://kami.app/8Uw-qjs-6Yd-3nf,,Transform your classroom with 'Behavior Bingo' - a fresh take on classroom management. https://www.youtube.com/watch?v=ctkvqH4EcqM,
TRUE,6-16-15," Make It Real
",Instructional Strategies,https://www.youtube.com/watch?v=i0Zbj8bphaE,https://docs.google.com/presentation/d/1rGPfQ6jc4q3jAE0W8_ZMMhDyxCPtF_BKC8ygdmkQyiU/edit?slide=id.p1#slide=id.p1,"🎯 Make It Real!
This activity helps students move from empathy to action by exploring real-world issues through four powerful prompts:


With AI support at every step, students generate insights, explore solutions, and design with purpose. 💡🌍




https://www.youtube.com/watch?v=i0Zbj8bphaE ",,https://mrshowell24.substack.com/p/make-it-real?r=1t4mql,,,G1,
TRUE,9-13-18,Apple Pie- Directions,Classroom Management,https://youtu.be/KaY6lqsEFPA,https://docs.google.com/presentation/d/1t4U8sXNUcTezcQ4HdLiAiC9HY2cZu88qk_4jbkZ0OGw/edit?usp=sharing,"What if Apple Pie- Directions was the one move that shifted your week?

It's quick, it's clear, and it gives kids something to chew on. No big lift. Big payoff!

See how it plays out ✨

https://youtu.be/KaY6lqsEFPA",,,,,Transform your classroom with 'Apple Pie- Directions' - a fresh take on classroom management. https://youtu.be/KaY6lqsEFPA,@mrshowell24 
TRUE,11-3-18,ST Math Game,Game Based Learning ,https://youtu.be/HlG5oAIT3F0,https://docs.google.com/presentation/d/1WRaobZhtDPZqNlZVPl3NXdJGh8RqRmASkCYPETrY_xw/view?slide=id.g19a085b70d_0_0,"ST Math turns math into a puzzle kids can't stop solving.

This walks through how to run it well in your block 🧩

Watch: https://youtu.be/HlG5oAIT3F0

#GameBasedLearning #MathTeacher #EdTech",,,,,Engage students instantly: 'ST Math Game' brings the fun to game based learning. https://youtu.be/HlG5oAIT3F0,@mrshowell24 
,2-2-20,Tracking Missing Work,Organization ,https://www.youtube.com/watch?v=jpV2WDoT2rY,https://sites.google.com/mrshowell24.com/mrshowell24/blog/tracking-missing-work,"Missing Work pile too tall?

This tracker keeps it tight. Save it and watch the chaos calm down 📋

Watch: https://youtu.be/jpV2WDoT2rY

#Organization #TeacherTips #ClassroomManagement",,,,,Transform your classroom with 'Tracking Missing Work' - a fresh take on organization. https://www.youtube.com/watch?v=jpV2WDoT2rY,@mrshowell24 
FALSE,2-9-20,Podcast Walk & Listen,Instructional Strategies,https://www.youtube.com/watch?v=Sf9Tqu0TaV4,https://docs.google.com/document/d/1dUKvbZ-QxoVQdhspJaGU8FhrnHg3kN8w-ZzD9MJEnpc/edit?usp=sharing,"🧠➡️🚶Students need movement to fuel focus! One simple way: host a “Walk & Listen” . 🎧
A quick stroll while listening resets energy and boosts learning. https://youtu.be/Sf9Tqu0TaV4 ",,,,Check This Out Podcast,Level up your instruction! Explore 'Podcast Walk & Listen' for fresh instructional strategies ideas. https://www.youtube.com/watch?v=Sf9Tqu0TaV4,@mrshowell24 
TRUE,2-23-20,Tech Madness,Coaching ,https://www.youtube.com/watch?v=LZb9YEocSjM,https://www.mrshowell24.com/blog/tech-madness,"Tech Madness is your bracket of new tools.

Staff vote, test, and pick the winner. PD that feels like a game 🏀

Watch: https://youtu.be/LZb9YEocSjM

#Coaching #TeacherPD #EdTech",,,,@feldmantech,New coaching strategy: 'Tech Madness'. Worth exploring! https://www.youtube.com/watch?v=LZb9YEocSjM,@mrshowell24 
FALSE,3-1-20,Step Challenge,Coaching ,https://www.youtube.com/watch?v=6OhgE1iFKjM,https://www.mrshowell24.com/blog/step-challenge,"A Step Challenge for staff? Yes.

It builds team, boosts mood, and gets folks moving. Here's how to run one ✨

Watch: https://youtu.be/6OhgE1iFKjM

#Coaching #InstructionalCoach #SchoolCulture",,,,,New coaching strategy: 'Step Challenge'. Worth exploring! https://www.youtube.com/watch?v=6OhgE1iFKjM,"@pertuzluisfer
@mrshowell24 "
TRUE,3-8-20,Missing Work,Classroom Management,https://youtu.be/J8XqPZaqg00,https://docs.google.com/document/d/1G7zkFmvGCliE8QYCsmph6lh1DmqctjPPUlAFtpkpbeA/edit?usp=sharing,"Students can check their highlighted assignments and ensure they've earned at least 80%.  
https://youtu.be/J8XqPZaqg00 ",,https://open.substack.com/pub/mrshowell24/p/tracking-missing-work?r=1t4mql&utm_campaign=post&utm_medium=web&showWelcomeOnShare=true,https://kami.app/LwU-msL-1ku-v2c,Melissa VanBramer,Transform your classroom with 'Missing Work' - a fresh take on classroom management. https://youtu.be/J8XqPZaqg00,Melissa VanBramer
TRUE,5-30-20,Feedback Ideas,Feedback ,https://youtu.be/poTDZSlSWkM,https://docs.google.com/presentation/d/1kyiTAuN16iUua1DencCuc-wiKpKj_D3YHQpGoyHvEjQ/edit?usp=sharing,"Save this one for your next lesson plan.

Feedback Ideas is low prep, high pull, and lands fast. Pin it now so you have it when you need it!

See how it plays out 📌

https://youtu.be/poTDZSlSWkM",,,,@Steph_EdTech,Make your feedback count! Discover 'Feedback Ideas' for better student outcomes. https://youtu.be/poTDZSlSWkM,@mrshowell 
