B50B55,Title,URL,Social 
TRUE,The First 20 Minutes,https://mrshowell24.substack.com/p/the-first-20-minutes,"Most of us teach the way we feel, not the way we plan. The first 20 minutes of your day shape all of it. Try this tiny shift this week. Read it here: https://mrshowell24.substack.com/p/the-first-20-minutes"
TRUE,Why Your Brain Feels Fried by Wednesday,https://mrshowell24.substack.com/p/why-your-brain-feels-fried-by-wednesday,"Wednesday-wiped? You're not lazy. Your brain is fried. Pre-load boring choices, take real breaks, and close your loops before you leave. Three small moves that work. Read it here: https://mrshowell24.substack.com/p/why-your-brain-feels-fried-by-wednesday"
FALSE,The “Three Versions” Trick,https://mrshowell24.substack.com/p/the-three-versions-trick?r=1t4mql,Tired of printing three reading group packets? Build one SchoolAI Space with three reading levels and let kids pick what fits. Eight minutes to set up: https://mrshowell24.substack.com/p/the-three-versions-trick
FALSE,ISTE 2.5 Designer:,https://mrshowell24.substack.com/p/iste-25-designer,Redesign that doesn't eat your weekend? Yes please. The ISTE 2.5 Designer is making the work feel doable for me. Take a peek: https://mrshowell24.substack.com/p/iste-25-designer
FALSE,What If This Year Really Works Out,https://mrshowell24.substack.com/p/what-if-this-year-really-works-out,"What if this year actually works out, and not the way fear keeps showing you? Letting that question sit changed my whole week. Read it here: https://mrshowell24.substack.com/p/what-if-this-year-really-works-out"
TRUE,Stop Waiting for Motivation,https://mrshowell24.substack.com/p/stop-waiting-for-motivation,"Motivation is a liar. It shows up after you start, not before. Here's the small move that gets me going on the hard stuff: https://mrshowell24.substack.com/p/stop-waiting-for-motivation"
FALSE,"Three Coaching Moves When a Teacher Says ""AI Won't Work for My Kids""",https://mrshowell24.substack.com/p/three-coaching-moves-when-a-teacher,"When a teacher says AI won't work for their kids, don't argue. Try one of these three coaching moves instead: https://mrshowell24.substack.com/p/three-coaching-moves-when-a-teacher"
TRUE,What If It All Works Out?,https://mrshowell24.substack.com/p/what-if-it-all-works-out,Some days my brain plans for things to fall apart. Asking what if it all works out flips the whole vibe. Here's why: https://mrshowell24.substack.com/p/what-if-it-all-works-out
TRUE,The Question I Keep Asking Myself Lately,https://mrshowell24.substack.com/p/the-question-i-keep-asking-myself,I keep asking myself one question this week and it's quietly changing how I show up. Sharing it here: https://mrshowell24.substack.com/p/the-question-i-keep-asking-myself
FALSE,"The ""Show Me Your Prompt"" Move",https://mrshowell24.substack.com/p/the-show-me-your-prompt-move,Stuck coaching a teacher past AI fear? Try the show me your prompt move. It's simple and it works: https://mrshowell24.substack.com/p/the-show-me-your-prompt-move
FALSE,Post the plan before you press play,https://mrshowell24.substack.com/p/post-the-plan-before-you-press-play,A daily move that lands for every learner and works just as well in a leadership room. Post the plan first: https://mrshowell24.substack.com/p/post-the-plan-before-you-press-play
FALSE,Hand the Mic Over,https://mrshowell24.substack.com/p/hand-the-mic-over,Want to see kids light up around AI? Stop driving and let them steer. Here's how to hand the mic over: https://mrshowell24.substack.com/p/hand-the-mic-over
FALSE,Empowering Leader,https://mrshowell24.substack.com/p/empowering-leader,"How do you build a place teachers actually want to try new things? Small leader moves, every day. More here: https://mrshowell24.substack.com/p/empowering-leader"
TRUE,The 3-Second Pause That Changes Everything,https://mrshowell24.substack.com/p/the-3-second-pause-that-changes-everything,Wait time is the smallest classroom move with the biggest payoff. Three seconds is all it takes. See it in action: https://mrshowell24.substack.com/p/the-3-second-pause-that-changes-everything
FALSE,The Best AI Prompt I've Seen All Year,https://mrshowell24.substack.com/p/the-best-ai-prompt-ive-seen-all-year,"The best AI prompt I've seen all year came from a 5th grader. Yep, really. Here's why it's so good: https://mrshowell24.substack.com/p/the-best-ai-prompt-ive-seen-all-year"
FALSE,Make It Real,https://mrshowell24.substack.com/p/make-it-real-91c,Care is great. Action is better. A simple way to turn caring into something kids can feel: https://mrshowell24.substack.com/p/make-it-real-91c
FALSE,"Four Colors, Four Moves",https://mrshowell24.substack.com/p/four-colors-four-moves,"Want to reach every learner today? Four colors, four moves. It's quick and it works: https://mrshowell24.substack.com/p/four-colors-four-moves"
FALSE,Let Students Steer,https://mrshowell24.substack.com/p/let-students-steer,One small shift in SchoolAI changes a lot. Let students steer and watch what happens next: https://mrshowell24.substack.com/p/let-students-steer
FALSE,Protect Your Peace Without Pushing Anyone Away,https://mrshowell24.substack.com/p/protect-your-peace-without-pushing,"Small boundary moves that help you stay kind, clear, and connected this week. No drama needed: https://mrshowell24.substack.com/p/protect-your-peace-without-pushing"
FALSE,"Three Reading Levels, One SchoolAI Space",https://mrshowell24.substack.com/p/three-reading-levels-one-schoolai,"When a lesson misses half the class, it's a reading level thing. Three levels, one Space, no extra prep: https://mrshowell24.substack.com/p/three-reading-levels-one-schoolai"
TRUE,"Designing for Real Kids, Not Just ""The Class""",https://mrshowell24.substack.com/p/designing-for-real-kids-not-just,Lesson plans for the class miss the actual kids in front of you. Here's how to design for real students: https://mrshowell24.substack.com/p/designing-for-real-kids-not-just
FALSE,When the School Year Falls Apart,https://mrshowell24.substack.com/p/when-the-school-year-falls-apart,"When the school year falls apart, you don't need a fix-it list. You need a reset. Here's the one I use: https://mrshowell24.substack.com/p/when-the-school-year-falls-apart"
FALSE,Meeting Every Kid Where They Are,https://mrshowell24.substack.com/p/meeting-every-kid-where-they-are,Meeting every kid where they are sounds huge until you see the small moves that actually do it: https://mrshowell24.substack.com/p/meeting-every-kid-where-they-are
FALSE,The 10-Minute Rule,https://mrshowell24.substack.com/p/the-10-minute-rule,Busy teachers can test AI without the stress. Try the 10-minute rule and see how it lands: https://mrshowell24.substack.com/p/the-10-minute-rule
FALSE,You're Not Lazy,https://mrshowell24.substack.com/p/youre-not-lazy,You're not lazy. You're stuck in identity lag. Here's what's really going on and how to get unstuck: https://mrshowell24.substack.com/p/youre-not-lazy
FALSE,Three Questions That Make AI Coaching Stick,https://mrshowell24.substack.com/p/three-questions-that-make-ai-coaching,Coaching teachers on AI and it feels slow? You're not alone. These three questions help it stick: https://mrshowell24.substack.com/p/three-questions-that-make-ai-coaching
